"Country","Total greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012","Total greenhouse gas emissions  % change 1990-2012","Methane emissions  thousand metric tons of carbon dioxide equivalent 2012","Methane emissions  % change 1990-2012","Methane emissions From energy processes % of total 2008","Methane emissions Agricultural % of total 2008","Nitrous oxide emissions  thousand metric tons of carbon dioxide equivalent 2012","Nitrous oxide emissions  % change 1990-2012","Nitrous oxide emissions From energy processes % of total 2008","Nitrous oxide emissions Agricultural % of total 2008","Other greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012","Other greenhouse gas emissions  % change 1990-2012"
"Poland",NA,-12.5,NA,-39.5,63,23.6,NA,-8.6,13.7,59.4,NA,-89.8
"Portugal",NA,24.6,NA,31.5,12.7,33.8,NA,-18.9,11,55,NA,NA
"Puerto Rico",NA,12,NA,31.9,0,21.5,220,-33.2,0.1,96,-4,-98.2
"Qatar",NA,369.3,NA,834.7,97.6,0.4,339,-74.7,28.1,19.6,NA,NA
"Romania",NA,-50.8,NA,-31.3,46.5,32.9,NA,-62.9,5.4,59.7,NA,-67.9
"Russian Federation",NA,-22,NA,-12.7,79.5,8.2,NA,-59.4,11.5,49.6,NA,1.5
"Rwanda",NA,105.7,NA,98.2,33.3,38.7,NA,137.5,10.1,79.7,769,198.6
"Samoa",356.1,24,133,16.2,5.1,70.5,40,17.1,6.4,82.7,55,-100
"San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sao Tome and Principe",195.5,100.6,46,60.6,40.1,12.6,10,56.3,14.3,50.8,87,-100
"Saudi Arabia",NA,NA,NA,104.5,85.5,3.4,NA,1.8,14.9,45.4,NA,18.5
"Senegal",NA,391.9,NA,76.4,16.5,65.6,NA,121.1,2.5,87.9,NA,NA
"Serbia",NA,NA,NA,-100,0,0,NA,-100,0,0,NA,NA
"Seychelles",910.3,149.2,24,35.6,16,14,23,72.5,21.6,22.4,382,0
"Sierra Leone",NA,22.7,NA,15.2,24.2,57.3,NA,34.7,3.3,79.9,NA,24.5
"Singapore",NA,NA,NA,143.3,59.2,1.4,NA,111.2,4.7,1.8,NA,413.4
"Sint Maarten (Dutch part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovak Republic",NA,-35.9,NA,-36.8,23,33.5,NA,-46.9,12.2,37.4,NA,347.1
"Slovenia",NA,5.5,NA,-7,38.9,36.5,NA,-8.1,12.1,72.3,NA,-36.3
"Solomon Islands",NA,-22.2,NA,-29.2,1,96.8,NA,-27.6,0.2,99.3,229,-100
"Somalia",NA,22.1,NA,24.1,16.6,77.9,NA,22.9,5.1,90.8,-392,-20.4
"South Africa",NA,43.8,NA,18.3,47.1,30.3,NA,-7.6,11.9,63.8,NA,894.6
"South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain",NA,18.7,NA,13.4,9.2,55.5,NA,-20.3,11.1,65.5,NA,105.5
"Sri Lanka",NA,65.7,NA,3,5.1,67.1,NA,23.6,13.1,64.5,988,-89.6
"St. Kitts and Nevis",NA,NA,30,16.4,1.2,34.3,15,90.2,8.8,63.6,NA,NA
"St. Lucia",598.8,115.3,44,18.2,5.4,44.7,35,13.5,10.5,48.7,4,100
"St. Martin (French part)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Vincent and the Grenadines",319.2,127,40,34.1,5.2,24.7,18,3.1,12.6,47.9,-47,NA
"Sudan",NA,430.9,NA,104.8,6.4,87.9,NA,136.1,0.7,90.7,NA,NA
"Suriname",NA,-74.7,709,-28.1,3.6,79.3,273,-39.5,3.5,52.2,-476,-99.8
"Eswatini",NA,53.8,NA,21.4,11.7,57.3,569,4.7,4.3,91,922,375.8
"Sweden",NA,-14.8,NA,-10.6,11,28.2,NA,-25.4,19,59.8,NA,86.1
"Switzerland",NA,-4.1,NA,-17,21.6,64.6,NA,-17.1,15.8,58,NA,-5.5
"Syrian Arab Republic",NA,58.7,NA,52.5,45.4,35,NA,41.9,4,80.5,NA,983.4
"Tajikistan",NA,-29.1,NA,25.8,11.8,71.3,NA,22.9,1.3,87.7,NA,-86.9
"Tanzania",NA,147.8,NA,4.1,22.2,60.2,NA,-37.5,5.1,82.6,NA,319.3
"Thailand",NA,111.7,NA,25.3,22.2,62.4,NA,67.5,13.5,69.8,NA,227.6
"Timor-Leste",959.3,111.8,732,115,1.2,86.4,226,102.2,1.1,88,-556,-500
"Togo",NA,71,NA,72.9,27.9,39,NA,39.9,3.8,66.7,NA,57.3
"Tonga",155.3,24.8,61,8.7,1.5,70.7,22,14.8,3.3,95.8,-116,-100
"Trinidad and Tobago",NA,NA,NA,386.9,86.6,0.5,281,-51.5,12.1,50.4,NA,NA
"Tunisia",NA,87.2,NA,88.4,56,31.8,NA,27.4,8.6,68,NA,435.4
"Turkey",NA,98.5,NA,79.8,19.6,31.9,NA,24.6,10.5,69.9,NA,187.4
"Turkmenistan",NA,13.3,NA,-26.3,76.7,20.5,NA,115.4,1.8,75.8,NA,88.9
"Turks and Caicos Islands",NA,227.2,6,165.8,5.7,0,1,648.2,60.7,0,NA,-540
"Tuvalu",5.2,30,3,25.6,0,35.2,1,44.9,0,98.5,0,-620
"Uganda",NA,118.8,NA,72.8,22.3,65.5,NA,86.7,4.6,86.1,NA,168.1
"Ukraine",NA,-57.5,NA,-44.4,69.6,15,NA,-57.8,5.7,41.7,-196,-77
"United Arab Emirates",NA,182.6,NA,92,92.9,2.5,NA,129.2,14.9,35.9,NA,68.4
"United Kingdom",NA,-24.6,NA,-49.8,22.6,39.5,NA,-55.4,8.9,60.9,NA,-2.7
"United States",NA,3.4,NA,-21.6,40.1,36,NA,-12.9,21.7,57.6,NA,120.2
"Uruguay",NA,31.1,NA,24.1,3,92.8,NA,33.9,1.8,96,NA,-56.7
"Uzbekistan",NA,4.6,NA,43.7,59.2,32.8,NA,17.9,3.7,85.5,258,-9.6
"Vanuatu",446.2,3,254,18.8,1.4,85.4,109,13.9,1,95.7,-20,650
"Venezuela, RB",NA,34.2,NA,31.9,41.2,44.1,NA,28.7,4.3,72.4,NA,-42.4
"Vietnam",NA,213.6,NA,87.8,34.7,54.2,NA,197,6.7,83.8,NA,348
"Virgin Islands (U.S.)",61.5,35.8,47,39.5,0,7.2,13,37.2,0,93.1,0,NA
"West Bank and Gaza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen, Rep.",NA,218.5,NA,128.5,27.8,46.8,NA,77.4,13.7,71,NA,433.3
"Zambia",NA,52.8,NA,-77.5,40.3,38.3,NA,-76,2.7,65.6,NA,112.2
"Zimbabwe",NA,105.3,NA,-16.3,12.2,69.8,NA,-38.1,5.3,89.7,NA,NA
